House ID,Golden Grains
6e32cec0,1470912
6e32cec4,1241030
6e32cec9,838723
6e32cece,1267804
6e32ced1,1497166
6e32ced3,1428460
6e32ced5,1453568
6e32ced7,1381186
6e32ceda,1052137
6e32cedd,1473032
6e32cedf,1442065
6e32cee4,1583875
6e32cee9,1430528
6e32ceeb,957702
6e32ceed,1330487
6e32cef3,1309373
6e32cef9,1109247
6e32cefc,1185887
6e32cefe,1219965
6e32cf01,1322296
6e32cf07,1468637
6e32cf09,1017577
6e32cf0e,1150209
6e32cf10,1351400
6e32cf13,1226995
6e32cf17,1328810
6e32cf1a,1273623
6e32cf20,1263657
6e32cf26,1386556
6e32cf2a,1620012
6e32cf2f,1339790
6e32cf32,1053131
6e32cf35,1437162
6e32cf37,1386055
6e32cf3b,1274727
6e32cf3d,1452049
6e32cf3f,1084410
6e32cf45,1495850
6e32cf47,1240531
6e32cf4b,1315905
6e32cf51,1434583
6e32cf57,1485374
6e32cf5b,1419395
6e32cf5f,1048217
6e32cf63,1082473
6e32cf67,1255892
6e32cf6d,1414831
6e32cf70,1195212
6e32cf73,1360914
6e32cf76,1136222
6e32cf7c,837994
6e32cf80,1426681
6e32cf86,1377761
6e32cf8c,1540500
6e32cf92,1370730
6e32cf94,1274514
6e32cf98,1406518
6e32cf9d,1106558
6e32cf9f,1311503
6e32cfa3,994838
6e32cfa9,1409057
6e32cfad,1359193
6e32cfb1,1321611
6e32cfb7,1317434
6e32cfb9,1494069
6e32cfbc,1290309
6e32cfc0,1399373
6e32cfc5,1008656
6e32cfc8,1377460
6e32cfca,1348625
6e32cfcf,1344978
6e32cfd3,1167093
6e32cfd5,1333643
6e32cfda,1342903
6e32cfde,1353618
6e32cfe1,1436392
6e32cfe4,1450159
6e32cfe7,1442146
6e32cfec,1217268
6e32cfee,1350144
6e32cff0,1435316
6e32cff5,1341556
6e32cff9,1078135
6e32cffb,1434461
6e32cfff,995384
6e32d003,1172013
6e32d009,1020444
6e32d00c,1394892
6e32d00e,1261775
6e32d013,1360182
6e32d017,1083058
6e32d01c,1441579
6e32d020,1173528
6e32d026,1039902
6e32d02b,1625105
6e32d030,1170811
6e32d035,1411090
6e32d037,1203662
6e32d039,1230244
6e32d03e,1462847
6e32d043,1241409
6e32d045,1650169
6e32d04a,1350458
6e32d04e,1383929
6e32d050,1478473
6e32d052,1292524
6e32d058,870679
6e32d05b,1356376
6e32d05d,1248401
6e32d060,1238448
6e32d064,803514
6e32d06a,1089772
6e32d06d,1345168
6e32d072,1222552
6e32d077,1395999
6e32d07c,1148988
6e32d081,1168961
6e32d086,1399301
6e32d088,1606279
6e32d08e,1184116
6e32d094,1262916
6e32d096,1343778
6e32d09b,1260929
6e32d09d,1200621
6e32d09f,1240153
6e32d0a5,979872
6e32d0a9,1334481
6e32d0af,1271734
6e32d0b3,1451445
6e32d0b7,1367343
6e32d0bc,978250
6e32d0c0,1462503
6e32d0c3,1480960
6e32d0c7,1424332
6e32d0cb,1211971
6e32d0d1,1474911
6e32d0d4,1512991
6e32d0d7,1415527
6e32d0db,1479955
6e32d0e1,1145873
6e32d0e4,1327632
6e32d0e6,1283729
6e32d0ea,1009037
6e32d0ee,1288606
6e32d0f0,1458447
6e32d0f3,930118
6e32d0f7,1453474
6e32d0fb,1378274
6e32d101,1496291
6e32d107,1262934
6e32d10b,1331622
6e32d10f,1387334
6e32d114,1414528
6e32d117,1362333
6e32d11c,1143100
6e32d121,1096881
6e32d125,1307934
6e32d12b,1486507
6e32d131,1543624
6e32d137,1328460
6e32d13a,1452130
6e32d13d,1462984
6e32d143,1395171
6e32d149,1006564
6e32d14d,1375211
6e32d14f,1546670
6e32d154,960238
6e32d156,1181460
6e32d159,1434729
6e32d15f,1291116
