BUILDER,House ID,DATE_BUILT,DATE_PRICED,LOCATION,DST_DOCK,DST_CAPITAL,DST_MARKET,DST_TOWER,DST_RIVER,DST_KNIGHT_HS,FRNT_FARM_SZ,GARDEN,RENOVATION,TREE,KING_VISIT,CURSE,N_BED,N_BATH,N_DINING,N_BLESS,DAY_BUILT,MONTH_BUILT,YEAR_BUILT,TIME_BUILT,DAY_PRICED,MONTH_PRICED,YEAR_PRICED,TIME_PRICED,Golden Grains
The_Lannisters,6e32cf4b,-11664459508.0,-11388076588.0,Servant's Premises,26.910971999999997,5.051018,95.267946,124.213778,42.63296,15.775998000000001,-1,0.0,0.0,,0,1.0,3.0,4.0,3.0,155,14,5,1600,2215,15,2,1609,1917,1315905.0
The_Lannisters,6e32cf63,-11511209788.0,-11397671968.0,The Mountains,3.246707,98.765114,150.032514,205.231808,6.41729,109.29358700000002,1,0.0,0.0,1.0,0,0.0,3.0,,3.0,61,23,3,1605,1537,27,10,1608,1754,1082473.0
The_Lannisters,6e32cfff,-11489969668.0,-11291983948.0,Cursed Land,55.194201,106.867728,112.204225,7.331488,13.643248000000002,117.688478,-1,0.0,0.0,1.0,0,0.0,4.0,2.0,,53,24,11,1605,1139,3,3,1612,2341,995384.0
The_Lannisters,6e32d020,-11466829768.0,-11272101808.0,Servant's Premises,116.232545,,135.95518,96.90175,75.913338,,1,0.0,0.0,1.0,0,0.0,4.0,2.0,3.0,74,19,8,1606,0724,20,10,1612,0230,1173528.0
The_Lannisters,6e32d0af,-11561402368.0,-11426079328.0,The Mountains,110.908864,33.477492,48.564873999999996,126.31342099999999,45.312225,44.072108,-1,0.0,0.0,0.0,0,1.0,2.0,4.0,2.0,127,20,8,1603,1714,3,12,1607,2258,1271734.0
The_Lannisters,6e32d10f,-11492463868.0,-11400520768.0,,51.148075,16.326244,109.613235,123.868738,11.439484,26.442190999999998,-1,0.0,0.0,1.0,0,0.0,2.0,2.0,,144,26,10,1605,1449,24,9,1608,1834,1387334.0
The_Lannisters,6e32d137,-11584894588.0,-11410440088.0,The Mountains,7.461255,58.072430000000004,11.289543,5.271383,25.666285000000002,68.598329,-1,0.0,0.0,,0,0.0,2.0,4.0,4.0,102,21,11,1602,1937,1,6,1608,2312,1328460.0
The_Lannisters,6e32d13a,-11599257568.0,-11380362088.0,King's Landing,50.214778,17.829403,60.33836899999999,18.143537,24.141732,27.913094,-1,0.0,0.0,1.0,0,0.0,2.0,4.0,2.0,142,8,6,1602,1354,16,5,1609,0212,1452130.0
The_Lannisters,6e32d181,-11490986428.0,-11451726928.0,The Mountains,36.595197,103.05324300000001,76.125837,237.89490899999998,66.241648,113.859546,0,,1.0,1.0,1,0.0,4.0,4.0,2.0,57,12,11,1605,1713,10,2,1607,0238,1037932.0
The_Lannisters,6e32d228,-11552180608.0,-11436379588.0,The Mountains,,114.19406399999998,133.570557,208.192054,53.074456999999995,124.62481399999999,-1,0.0,,1.0,0,0.0,4.0,3.0,3.0,46,5,12,1603,1050,6,8,1607,1747,961151.0
The_Lannisters,6e32d230,-11502325468.0,-11413530028.0,Cursed Land,106.85357900000001,41.309625,41.388391,108.887623,18.756287,52.279563,0,,0.0,1.0,1,0.0,4.0,2.0,4.0,119,4,7,1605,1129,27,4,1608,0453,1344530.0
The_Lannisters,6e32d26f,-11659529188.0,-11310029728.0,The Mountains,,21.937248,42.865579,21.490532,2.71755,32.912788,1,0.0,1.0,,0,1.0,2.0,2.0,3.0,138,10,7,1600,2347,8,8,1611,0258,1348397.0
The_Lannisters,6e32d293,-11596294468.0,-11286084268.0,The Mountains,24.637051,78.196206,11.672968,255.88076,52.689577,88.830586,1,,,1.0,0,0.0,3.0,4.0,3.0,82,12,7,1602,2059,11,5,1612,0629,1161221.0
The_Lannisters,6e32d369,-11514990868.0,-11438175808.0,The Mountains,117.483152,17.131191,30.997456,44.246945000000004,53.860771,27.573613,-1,0.0,0.0,1.0,0,0.0,2.0,3.0,2.0,143,7,2,1605,2119,16,7,1607,2250,1411591.0
The_Lannisters,6e32d37c,-11543024428.0,-11399083468.0,King's Landing,14.985584,13.685564000000001,135.334422,29.612606,3.020316,24.22428,1,,1.0,0.0,0,1.0,3.0,3.0,4.0,146,20,3,1604,1013,11,10,1608,0949,1550463.0
The_Lannisters,6e32d37f,-11630021128.0,-11288782528.0,Servant's Premises,4.450618,67.988677,131.023051,30.234347999999997,21.602362,78.92489499999999,0,,0.0,1.0,1,0.0,3.0,4.0,4.0,92,17,6,1601,1228,10,4,1612,0058,1138834.0
The_Lannisters,6e32d3c4,-11529920488.0,-11330437408.0,King's Landing,,1.9157689999999998,122.947722,61.654786,13.754069,12.694277,0,,,,1,0.0,2.0,3.0,2.0,158,19,8,1604,0212,14,12,1610,2210,1379369.0
The_Lannisters,6e32d43c,-11546519548.0,-11328834808.0,The Mountains,2.691707,53.544587,38.146522,58.884537,56.38339499999999,64.205107,-1,0.0,0.0,,0,1.0,3.0,4.0,2.0,106,8,2,1604,2321,2,1,1611,1120,1217092.0
The_Lannisters,6e32d45b,-11581759948.0,-11272755268.0,The Mountains,41.022890000000004,54.565459999999995,46.579178000000006,95.139166,10.562068,65.535891,1,0.0,0.0,1.0,0,0.0,3.0,4.0,4.0,105,28,12,1602,0221,12,10,1612,1259,1335107.0
The_Lannisters,6e32d4b6,-11550913288.0,-11295700948.0,The Mountains,4.796936,,116.44625900000001,246.927413,0.9814450000000001,,1,0.0,0.0,1.0,0,0.0,2.0,4.0,4.0,74,20,12,1603,0252,20,1,1612,2311,1269264.0
The_Lannisters,6e32d4e7,-11514033748.0,-11303254768.0,Cursed Land,27.849490000000003,12.291261,25.359079,84.238978,35.922373,22.633008,-1,0.0,0.0,1.0,0,0.0,4.0,2.0,4.0,148,18,2,1605,2311,25,10,1611,1254,1499390.0
The_Lannisters,6e32d506,-11585373508.0,-11306103928.0,Cursed Land,,14.280275,6.3220540000000005,36.582445,0.997915,24.771023,1,0.0,,1.0,0,0.0,3.0,4.0,2.0,146,16,11,1602,0635,22,9,1611,1328,1479191.0
The_Lannisters,6e32d51a,-11493033208.0,-11292150148.0,Cursed Land,14.747926000000001,75.53344399999999,122.83854199999999,118.512619,88.252275,85.993143,-1,0.0,0.0,1.0,0,0.0,2.0,3.0,2.0,84,20,10,1605,0040,2,3,1612,0131,975441.0
The_Lannisters,6e32d59d,-11659502608.0,-11272046788.0,The Mountains,55.99921,69.945789,34.936662,22.861755,43.560268,80.069753,-1,0.0,0.0,1.0,0,0.0,4.0,,3.0,90,11,7,1600,0710,20,10,1612,1747,1200277.0
The_Lannisters,6e32d67c,-11507058088.0,-11335701328.0,The Mountains,24.193001000000002,57.493430000000004,39.921819,215.00095699999997,47.424962,68.061396,-1,,1.0,1.0,0,0.0,3.0,3.0,2.0,103,10,5,1605,1652,14,10,1610,2358,1236559.0
The_Lannisters,6e32d6bc,-11503472488.0,-11443198168.0,Cursed Land,15.588401999999999,8.626605,37.989506,7.258030000000001,69.651327,19.333748999999997,-1,0.0,0.0,1.0,0,0.0,2.0,4.0,2.0,151,21,6,1605,0452,19,5,1607,1944,1458469.0
The_Lannisters,6e32d6cd,-11610991648.0,-11373468088.0,The Mountains,45.536559999999994,68.644931,43.686718,53.254211,21.101053,79.242311,-1,0.0,0.0,1.0,0,0.0,2.0,,,91,23,1,1602,1826,3,8,1609,2112,1189657.0
The_Lannisters,6e32d7c1,-11642694208.0,-11380935868.0,The Mountains,22.743582,79.633481,75.88139100000001,141.181546,16.322175,89.710856,-1,0.0,0.0,1.0,0,0.0,4.0,3.0,4.0,80,21,1,1601,2010,9,5,1609,1049,1206492.0
The_Lannisters,6e32d7d2,-11573033308.0,-11361228208.0,The Mountains,81.570308,34.087951000000004,61.094046999999996,141.372681,27.566931,44.610888,-1,0.0,1.0,0.0,0,1.0,3.0,4.0,4.0,126,8,4,1603,0225,23,12,1609,1310,1337949.0
The_Lannisters,6e32d874,-11485229068.0,-11451681148.0,Cursed Land,2.651019,23.555994000000002,56.144470999999996,155.818078,17.045216,33.613932,-1,0.0,1.0,1.0,0,0.0,4.0,4.0,3.0,136,18,1,1606,0829,10,2,1607,1521,1485017.0
The_Lannisters,6e32d8a8,-11600864848.0,-11305706548.0,,26.400855,42.292761999999996,2.455109,47.911389,9.151318,53.135146999999996,1,0.0,0.0,0.0,0,1.0,3.0,4.0,4.0,118,20,5,1602,2326,27,9,1611,0351,1445156.0
The_Lannisters,6e32d8ed,-11652959908.0,-11302981828.0,King's Landing,126.49798999999999,21.985977,26.882244,112.433773,26.592235,32.731869,-1,0.0,0.0,1.0,0,0.0,3.0,4.0,,138,25,9,1600,0035,28,10,1611,1643,1360806.0
The_Lannisters,6e32d90a,-11524392808.0,-11427357808.0,The Mountains,62.157001,,59.258784,128.013129,89.146712,,-1,0.0,,1.0,0,0.0,3.0,4.0,,74,22,10,1604,0140,19,11,1607,0350,1252384.0
The_Lannisters,6e32d91e,-11667813868.0,-11439508948.0,Cursed Land,76.001541,,68.048753,42.194684,8.778772,,-1,0.0,0.0,1.0,0,,4.0,2.0,2.0,74,6,4,1600,0229,1,7,1607,1231,1257236.0
The_Lannisters,6e32d95c,-11623216948.0,-11400915808.0,The Mountains,35.633888,33.924334,18.498101000000002,118.375215,2.8711580000000003,44.15867,1,0.0,0.0,0.0,0,1.0,3.0,2.0,4.0,126,4,9,1601,0631,20,9,1608,0450,1462050.0
