ID,FARE
1.0,38.63
2.0,31.03
3.0,92.63
4.0,38.82
5.0,43.3
6.0,212.95
7.0,418.47
8.0,52.49
9.0,181.76
10.0,64.16
11.0,95.26
12.0,306.72
13.0,74.73
14.0,76.25
15.0,34.79
16.0,53.58
17.0,410.7
18.0,109.96
19.0,393.14
20.0,73.65
21.0,79.14
22.0,76.74
23.0,99.03
24.0,245.01
25.0,449.95
26.0,78.63
27.0,91.76
28.0,975.73
29.0,165.98
30.0,67.52
31.0,554.92
32.0,618.22
33.0,97.6
34.0,402.5
35.0,106.68
36.0,78.89
37.0,59.26
38.0,132.48
39.0,50.33
40.0,33.97
41.0,391.91
42.0,656.65
43.0,96.79
44.0,82.14
45.0,35.43
46.0,64.16
47.0,60.99
48.0,486.52
49.0,80.42
50.0,74.74
51.0,649.93
52.0,137.09
53.0,76.65
54.0,911.95
55.0,131.58
56.0,141.96
57.0,36.11
58.0,1294.06
59.0,314.82
60.0,618.8
61.0,46.14
62.0,27.93
63.0,71.03
64.0,63.22
65.0,226.66
66.0,40.69
67.0,87.57
68.0,63.55
69.0,355.97
70.0,73.75
71.0,846.51
72.0,127.17
73.0,1167.33
74.0,287.59
75.0,105.53
76.0,50.0
77.0,72.67
78.0,77.64
79.0,56.37
80.0,466.14
81.0,560.44
82.0,112.81
83.0,447.79
84.0,39.23
85.0,569.02
86.0,66.07
87.0,100.05
88.0,1230.49
89.0,90.32
90.0,280.45
91.0,100.79
92.0,959.43
93.0,847.73
94.0,74.96
95.0,90.82
96.0,69.98
97.0,481.37
98.0,37.85
99.0,1046.4
100.0,728.02
101.0,479.86
102.0,986.36
103.0,987.62
104.0,47.86
105.0,96.99
106.0,434.34
107.0,54.1
108.0,623.87
109.0,424.67
110.0,89.32
111.0,73.15
112.0,166.5
113.0,38.28
114.0,163.1
115.0,56.16
116.0,41.38
117.0,51.51
118.0,60.11
119.0,367.09
120.0,365.46
121.0,144.86
122.0,51.56
123.0,552.18
124.0,63.09
125.0,691.21
126.0,85.56
127.0,47.2
128.0,82.59
129.0,438.16
130.0,93.8
131.0,382.8
132.0,133.81
133.0,922.84
134.0,185.23
135.0,62.78
136.0,532.14
137.0,70.18
138.0,102.68
139.0,699.59
140.0,75.18
141.0,486.57
142.0,63.18
143.0,78.53
144.0,99.71
145.0,21.22
146.0,58.66
147.0,438.12
148.0,630.79
149.0,64.59
150.0,348.61
