ID,TIMESTAMP,STARTING_LATITUDE,STARTING_LONGITUDE,DESTINATION_LATITUDE,DESTINATION_LONGITUDE,VEHICLE_TYPE,TOTAL_LUGGAGE_WEIGHT,WAIT_TIME,TRAFFIC_STUCK_TIME,DISTANCE,FARE
1,2016-01-21 06:59:49,13.044677,80.235723,13.178228,80.163277,Bus,,,8,34,32.09
2,2016-06-17 22:23:30,28.63958,77.074113,28.587288,76.971306,Taxi AC,7.0,9.0,66,34,985.99
3,2016-03-16 04:55:18,25.373881,82.96957,25.349656,82.992587,Taxi Non AC,18.0,6.0,53,1,1085.33
4,2016-04-26 18:10:09,,,28.758384,77.011422,Metro,,,54,31,56.21
5,2016-06-22 01:51:35,22.543506,88.446273,22.706696,88.429522,bus,,,33,44,30.62
6,2016-03-18 15:57:21,19.206757,72.882636,19.230355,72.838503,AC bus,,,23,43,59.82
7,2015-11-04 16:26:53,19.012727,72.872332,19.147118,72.841727,taxi Non ac,22.0,0.0,61,34,586.36
8,2015-11-05 08:51:13,12.944421,77.645893,12.877228,77.694882,Bus,,,28,18,32.27
9,2016-08-15 14:41:00,25.304677,82.98701,25.387941,82.99002,Taxi AC,12.0,18.0,69,43,1122.08
10,2015-01-23 09:36:02,22.537007,88.447269,22.578402,88.404477,metro,,,17,19,23.54
11,2015-01-09 05:18:51,19.016835,72.849415,19.234467,72.841091,Taxi AC,17.0,19.0,39,41,901.34
12,2016-12-24 06:37:29,25.264279,83.01237,25.382989,83.017661,bus,,,33,23,50.4
13,2016-07-09 06:18:46,12.911021,80.254439,12.936834,80.236087,mini bus,,,24,14,34.62
14,2016-02-01 00:32:57,19.11927,72.878143,19.031962,72.845992,metro,,,46,27,40.69
15,2015-03-04 21:23:55,22.735616,88.403567,22.547498,88.413105,bus,,,57,37,43.29
16,2015-05-01 23:04:31,28.599383,77.104063,28.751321,77.107824,metro,,,5,44,68.19
17,2015-04-28 17:23:01,,,12.929617,80.15539,mini Bus,,,24,28,37.36
18,2016-02-02 08:49:53,13.021446,80.255952,12.952216,80.154032,metro,,,34,36,31.38
19,2016-05-06 08:56:01,25.374418,82.981756,25.319884,83.020486,Auto Rickshaw,,,50,26,548.3
20,2015-10-15 12:20:28,13.160543,80.237017,12.922763,80.226263,Taxi non ac,5.0,3.0,13,40,388.63
21,2016-02-14 23:08:07,19.122025,72.852804,19.11034,72.861011,ac bus,,,20,14,62.35
22,2015-09-23 11:25:11,12.939878,77.490222,13.098716,77.603401,metro,,,51,36,32.5
23,2016-11-21 11:54:36,13.145086,80.240101,12.929459,80.153838,Taxi non ac,6.0,17.0,5,30,300.81
24,2015-06-18 03:55:57,22.665667,88.429562,22.603646,88.381764,Ac Bus,,,5,22,61.82
25,2015-05-15 15:12:12,25.289699,82.973751,25.314504,82.965871,Auto rickshaw,,,61,37,555.5
26,2016-04-06 14:30:12,22.563403,88.401179,22.681291,88.442293,Metro,,,12,34,36.33
27,2015-01-25 04:32:15,,,,,ac bus,,,9,25,37.07
28,2016-06-27 16:03:30,13.030526,80.246843,12.922119,80.240786,mini Bus,,,58,37,44.69
29,2015-12-08 04:34:02,12.920335,77.528641,13.120777,77.527215,AUTO RICKSHAW,,,59,34,380.32
30,2016-07-06 19:04:45,12.856581,77.716619,12.883099,77.508599,Bus,,,31,32,32.53
31,2015-03-11 17:39:03,12.84378,77.573894,12.998129,77.516561,metro,,,76,45,35.97
32,2016-12-01 06:07:29,19.084173,72.858639,19.247523,72.882155,taxi non ac,4.0,11.0,14,21,379.46
33,2015-03-10 19:01:34,,,19.190526,72.858709,Auto Rickshaw,,,5,22,234.67
34,2015-05-11 05:21:22,12.947557,80.210826,12.907686,80.197314,bus,,,46,46,25.61
35,2016-06-11 21:37:45,25.317689,82.980269,25.368657,82.983328,AC Bus,,,35,24,73.77
36,2016-11-08 16:11:36,13.024097,77.6738,12.948687,77.54551,Auto Rickshaw,,,3,34,254.7
37,2015-02-17 21:56:31,28.668188,77.147271,28.642953,77.125975,Taxi AC,14.0,19.0,74,44,1266.86
38,2016-10-12 10:29:29,25.274459,83.022992,25.365709,82.9996,Taxi AC,14.0,18.0,25,13,350.32
39,2015-05-21 06:50:14,28.720435,77.10996,28.625564,77.061313,Taxi AC,30.0,15.0,14,39,1073.65
40,2015-12-23 00:25:08,,,13.048264,80.221814,AC bus,,,11,28,39.79
41,2016-04-23 18:02:55,22.449954,88.400716,22.727367,88.417781,bus,,,46,48,32.74
42,2016-05-15 12:08:22,25.345032,83.014762,25.347985,83.002762,auto rickshaw,,,0,9,117.78
43,2016-08-27 04:00:01,22.701131,88.428773,22.647746,88.39522,taxi ac,5.0,11.0,29,42,693.29
44,2016-10-09 12:12:48,28.635645,77.008438,28.651532,77.138757,taxi Non Ac,2.0,5.0,46,26,559.93
45,2016-12-01 18:43:05,28.720699,77.105837,28.585494,77.003554,Auto Rickshaw,,,86,44,793.74
46,2016-11-07 22:14:19,22.633398,88.398355,22.665546,88.387636,Auto Rickshaw,,,30,18,205.86
47,2016-09-01 14:00:04,,,,,Auto rickshaw,,,18,21,280.0
48,2016-10-10 00:03:04,22.615605,88.424973,22.483563,88.410998,Bus,,,34,33,38.54
49,2015-11-14 00:15:33,22.459848,88.443534,22.666339,88.429451,taxi Non Ac,6.0,16.0,53,47,659.89
50,2016-02-27 07:16:56,12.922697,77.533361,13.061858,77.473477,Bus,,,17,31,30.94
51,2016-12-20 16:38:20,13.123022,77.521053,12.914753,77.588539,Bus,,,28,33,32.61
52,2016-02-28 11:50:38,19.13215,72.856765,19.172549,72.846805,taxi Non ac,16.0,13.0,36,47,794.2
53,2016-01-01 21:22:22,19.216564,72.837939,19.040299,72.846485,ac bus,,,4,23,58.1
54,2015-12-28 08:55:21,12.86426,77.628016,12.901257,77.645988,Mini bus,,,19,28,38.79
55,2015-02-04 11:27:50,28.570586,77.188059,28.589722,77.105328,taxi ac,30.0,11.0,13,10,264.77
56,2015-10-19 20:04:40,28.712217,77.025918,28.710698,77.013187,taxi ac,27.0,8.0,16,15,382.03
57,2016-07-18 04:00:53,19.173529,72.842146,19.183926,72.866267,AUTO RICKSHAW,,,7,19,292.04
58,2015-12-27 22:38:29,28.707572,77.102641,28.685909,77.125735,auto rickshaw,,,1,43,1105.4
59,2016-04-20 19:07:47,19.249408,72.847854,19.097051,72.838326,Metro,,,82,44,55.97
60,2016-04-04 04:02:20,28.756204,76.986641,28.667895,77.012385,ac bus,,,73,37,99.36
61,2015-05-26 16:45:35,28.667553,77.138289,28.613686,76.963923,taxi Non ac,24.0,10.0,6,44,893.64
62,2015-07-08 12:05:53,28.765304,77.15729,28.693388,77.22883,mini bus,,,84,45,67.75
63,2016-03-27 15:55:25,28.61845,77.11117,28.663471,77.111787,Metro,,,6,29,52.09
64,2016-10-05 08:42:38,13.114415,80.219123,13.088734,80.158877,bus,,,3,14,25.11
65,2015-10-11 12:08:43,13.137891,80.157028,12.969131,80.236105,mini bus,,,25,23,32.64
66,2016-01-09 16:36:56,12.90434,80.136509,12.922484,80.231057,Metro,,,51,47,1557.0
67,2016-05-08 14:53:20,13.197332,80.159916,12.973684,80.204496,Auto Rickshaw,,,16,32,232.9
68,2015-05-09 10:39:47,28.585628,76.988183,28.751625,76.969769,metro,,,55,42,66.54
69,2015-12-03 01:49:03,13.097314,77.606524,13.111083,77.559423,ac bus,,,9,15,41.51
70,2015-11-08 20:33:12,19.251636,72.841845,19.248488,72.860006,Bus,,,23,33,51.37
71,2015-01-22 16:15:46,28.602372,77.156303,28.661465,77.171528,Auto Rickshaw,,,76,42,772.61
72,2016-05-25 01:07:58,,,25.345618,82.999711,ac bus,,,14,15,80.0
73,2016-07-25 03:23:24,28.669479,77.127042,28.673174,77.039582,Taxi non Ac,24.0,0.0,15,35,799.42
74,2016-11-24 10:43:29,25.325342,82.981287,25.367014,82.989492,Bus,,,9,13,49.68
75,2015-08-16 09:51:33,13.120844,77.606234,13.023501,77.658943,taxi Non Ac,4.0,9.0,10,26,276.18
76,2015-04-02 19:33:42,25.35475,83.022473,25.272242,83.021974,mini bus,,,24,28,79.55
77,2015-02-21 18:02:12,28.626767,77.146641,28.762885,76.979077,Metro,,,46,24,45.03
78,2015-08-28 09:38:07,28.561383,77.143035,28.686776,77.067998,Metro,,,32,36,62.62
79,2016-02-12 18:16:43,13.06345,80.20582,12.935725,80.18955,taxi non Ac,24.0,5.0,37,23,235.32
80,2016-03-02 12:28:33,13.051367,77.480635,12.97166,77.536778,taxi ac,12.0,7.0,89,45,601.01
81,2015-07-03 22:41:04,12.892599,80.2263,13.058523,80.164164,Taxi non Ac,21.0,17.0,33,22,246.68
82,2015-03-09 21:19:48,13.123751,80.136716,12.924694,80.140283,metro,,,11,47,34.57
83,2016-08-27 08:30:26,28.556494,77.178712,28.626498,77.160081,Metro,,,30,18,37.83
84,2016-12-09 08:52:45,19.224596,72.879763,19.060203,72.846667,Mini Bus,,,26,27,60.15
85,2016-01-14 00:08:33,28.750577,77.102801,28.587783,77.134451,taxi non ac,28.0,5.0,68,36,860.52
