id,price_range
1,3
2,3
3,2
4,3
5,1
6,3
7,3
8,1
9,3
10,0
11,3
12,3
13,0
14,0
15,2
16,0
17,2
18,1
19,3
20,2
21,1
22,3
23,1
24,1
25,3
26,0
27,2
28,0
29,3
30,0
31,2
32,0
33,3
34,0
35,1
36,1
37,3
38,1
39,2
40,1
41,1
42,2
43,0
44,0
45,0
46,1
47,0
48,3
49,1
50,2
51,1
52,0
53,3
54,0
55,3
56,1
57,3
58,1
59,1
60,3
61,3
62,3
63,0
64,1
65,1
66,1
67,2
68,3
69,1
70,2
71,1
72,2
73,2
74,3
75,3
76,0
77,2
78,0
79,2
80,3
81,0
82,3
83,3
84,0
85,3
86,0
87,3
88,1
89,3
90,0
91,1
92,2
93,2
94,1
95,2
96,2
97,1
98,2
99,1
100,2
101,1
102,0
103,0
104,3
105,0
106,2
107,0
108,1
109,2
110,3
111,3
112,3
113,1
114,3
115,3
116,3
117,3
118,2
119,3
120,0
121,0
122,3
123,2
124,1
125,2
126,0
127,3
128,2
129,2
130,2
131,0
132,2
133,2
134,1
135,3
136,1
137,1
138,0
139,3
140,2
141,1
142,2
143,1
144,2
145,2
146,3
147,3
148,3
149,2
150,3
151,2
152,3
153,1
154,0
155,3
156,2
157,3
158,3
159,3
160,3
161,3
162,2
163,3
164,3
165,3
166,3
167,1
168,0
169,3
170,0
171,0
172,0
173,2
174,1
175,0
176,1
177,0
178,0
179,1
180,2
181,1
182,0
183,0
184,1
185,1
186,2
187,2
188,1
189,0
190,0
191,0
192,1
193,0
194,3
195,1
196,0
197,2
198,2
199,3
200,3
201,1
202,1
203,3
204,2
205,3
206,2
207,2
208,1
209,1
210,0
211,1
212,3
213,0
214,2
215,3
216,3
217,0
218,2
219,0
220,3
221,2
222,3
223,3
224,1
225,0
226,1
227,0
228,3
229,0
230,1
231,0
232,2
233,2
234,1
235,3
236,1
237,3
238,0
239,3
240,1
241,2
242,0
243,0
244,2
245,1
246,3
247,3
248,3
249,1
250,1
251,3
252,0
253,0
254,2
255,3
256,3
257,1
258,3
259,1
260,1
261,3
262,2
263,1
264,2
265,3
266,3
267,3
268,1
269,0
270,1
271,2
272,3
273,1
274,1
275,3
276,2
277,0
278,3
279,0
280,0
281,2
282,0
283,0
284,3
285,2
286,3
287,3
288,2
289,1
290,3
291,3
292,2
293,3
294,1
295,2
296,1
297,2
298,0
299,2
300,3
301,1
302,0
303,0
304,3
305,0
306,3
307,0
308,1
309,2
310,0
311,2
312,3
313,1
314,3
315,2
316,2
317,1
318,2
319,0
320,0
321,0
322,1
323,3
324,2
325,0
326,0
327,0
328,3
329,2
330,0
331,2
332,3
333,1
334,2
335,2
336,2
337,3
338,1
339,3
340,3
341,2
342,2
343,2
344,3
345,3
346,0
347,3
348,0
349,3
350,1
351,3
352,1
353,3
354,3
355,0
356,1
357,0
358,3
359,1
360,3
361,2
362,3
363,0
364,0
365,0
366,0
367,2
368,0
369,0
370,2
371,2
372,1
373,2
374,2
375,2
376,0
377,1
378,0
379,0
380,3
381,2
382,0
383,3
384,1
385,2
386,2
387,1
388,2
389,3
390,1
391,1
392,2
393,2
394,1
395,2
396,0
397,1
398,1
399,0
400,3
401,2
402,0
403,0
404,1
405,0
406,0
407,1
408,1
409,0
410,0
411,0
412,2
413,2
414,3
415,2
416,3
417,0
418,3
419,0
420,3
421,1
422,1
423,1
424,0
425,2
426,0
427,3
428,2
429,3
430,3
431,1
432,3
433,1
434,3
435,1
436,3
437,2
438,0
439,1
440,2
441,1
442,1
443,0
444,0
445,0
446,1
447,2
448,1
449,0
450,3
451,2
452,0
453,2
454,3
455,0
456,0
457,3
458,1
459,2
460,0
461,2
462,3
463,3
464,0
465,3
466,0
467,2
468,3
469,3
470,3
471,0
472,2
473,0
474,2
475,3
476,0
477,1
478,1
479,0
480,0
481,1
482,1
483,1
484,3
485,3
486,3
487,2
488,3
489,1
490,2
491,2
492,3
493,3
494,3
495,2
496,0
497,2
498,1
499,2
500,2
501,1
502,0
503,2
504,2
505,0
506,0
507,0
508,3
509,1
510,0
511,2
512,2
513,2
514,0
515,3
516,1
517,2
518,2
519,1
520,3
521,0
522,2
523,3
524,0
525,1
526,1
527,3
528,3
529,1
530,1
531,1
532,3
533,2
534,0
535,3
536,1
537,2
538,0
539,3
540,3
541,1
542,3
543,2
544,2
545,3
546,0
547,1
548,2
549,3
550,1
551,3
552,2
553,3
554,1
555,1
556,0
557,0
558,3
559,1
560,0
561,3
562,2
563,3
564,2
565,1
566,3
567,3
568,3
569,2
570,3
571,3
572,1
573,2
574,0
575,2
576,3
577,3
578,1
579,0
580,1
581,1
582,2
583,2
584,2
585,0
586,0
587,2
588,2
589,3
590,2
591,0
592,2
593,1
594,3
595,3
596,0
597,1
598,3
599,0
600,2
601,1
602,1
603,0
604,0
605,2
606,1
607,0
608,1
609,1
610,2
611,2
612,0
613,2
614,2
615,1
